FCC,FDS,_DWARF,RA(deg),DEC(deg),M_r(mag),ERR_m_r(mag),M_g(mag),ERR_m_g(mag),mu_r(mag/arcsec2),ERR_mu_r(mag/arcsec2),R_e(arcsec),ERR_R_e(arcsec),axis_ratio,Sersic_index,log10(M_*/M_sun),ERR_log10(M_*),u,g,r,i
136,16,159,53.62283707,-35.5464592,-17.26,0.11,-16.49,0.13,21.78,0.31,17.5,1.72,0.85,2.14,8.8784,0.0029,16.8376,15.3327,14.5522,14.2993
106,15,417,53.19867325,-34.23872757,-16.91,0.09,-16.26,0.11,20.44,0.26,10.65,0.87,0.49,2.18,8.6925,0.0027,16.8898,15.741,15.0575,14.7861
202,11,235,54.52732468,-35.43991089,-16.83,0.11,-16.09,0.13,21.21,0.3,13.28,1.25,0.59,1.67,8.7053,0.0029,17.142,15.7815,15.0506,14.7675
113,15,107,53.27941895,-34.80557632,-16.53,0.14,-16.01,0.16,22.45,0.39,18.92,2.35,0.69,1.19,8.275,0.0036,17.1094,16.254,15.7749,15.6117
222,11,283,54.80550003,-35.37141037,-16.46,0.13,-15.76,0.15,22.44,0.36,16.1,1.86,0.89,1.35,8.5668,0.0033,17.3304,16.0806,15.3868,15.0711
100,16,417,52.9484787,-35.05138779,-16.45,0.14,-15.71,0.17,22.72,0.41,19.77,2.56,0.76,1.46,8.5465,0.0036,17.3941,16.0852,15.3737,15.0845
203,10,189,54.53820038,-34.51876068,-16.39,0.13,-15.76,0.15,21.97,0.37,16.04,1.88,0.55,1.46,8.553,0.0033,17.6344,16.1375,15.4762,15.1274
135,15,384,53.62844467,-34.29737091,-16.31,0.13,-15.69,0.15,21.7,0.36,14.72,1.68,0.47,1.58,8.5043,0.0033,17.3801,16.1867,15.5511,15.2025
207,11,396,54.58018494,-35.12912369,-16.08,0.11,-15.46,0.12,21.63,0.3,9.59,0.92,0.83,1.54,8.3085,0.0031,17.6497,16.4253,15.7616,15.5219
245,11,458,55.14099121,-35.02288818,-15.99,0.14,-15.32,0.16,22.72,0.39,14.52,1.78,0.92,1.51,8.3689,0.0036,17.8998,16.5285,15.9129,15.5551
252,11,69,55.20998764,-35.74845505,-15.9,0.12,-15.22,0.14,22.25,0.34,11.13,1.21,0.94,1.21,8.3809,0.0033,18.0898,16.4905,15.8013,15.449
300,7,326,56.24958801,-36.31975174,-15.87,0.17,-15.2,0.2,23.37,0.49,20.82,3.23,0.72,1.14,8.3458,0.0042,17.9238,16.5666,15.8936,15.55
266,6,455,55.4221611,-35.1702652,-15.84,0.09,-15.17,0.11,21.23,0.26,6.91,0.58,0.89,1.17,8.2948,0.0029,18.1597,16.7095,16.0447,15.7328
46,22,244,51.60430145,-37.12778473,-15.8,0.11,-15.27,0.12,21.35,0.3,8.51,0.82,0.64,0.98,8.1061,0.0031,17.7616,16.6818,16.1938,15.9279
188,11,155,54.26890564,-35.59014893,-15.75,0.13,-15.06,0.16,22.64,0.38,12.2,1.45,0.96,1,8.2215,0.0035,17.956,16.7113,16.018,15.7577
211,11,339,54.58950424,-35.25968933,-15.6,0.1,-14.96,0.11,21.17,0.27,6.58,0.58,0.75,1.66,8.1347,0.003,18.0814,16.8617,16.2199,15.9522
164,12,367,54.05358887,-36.1664505,-15.49,0.13,-14.86,0.15,21.85,0.36,9.95,1.13,0.55,1.47,8.1311,0.0034,18.5234,17.1193,16.4853,16.1737
306,7,310,56.43909454,-36.34609985,-15.4,0.11,-15.03,0.12,21.33,0.31,7.26,0.71,0.59,0.9,7.7096,0.0033,17.6836,16.9008,16.5846,16.4207
253,13,42,55.2303009,-37.83762741,-15.32,0.14,-14.63,0.16,22.35,0.39,10.92,1.36,0.62,1.13,8.1008,0.0037,18.6277,17.2488,16.5385,16.2412
274,6,208,55.5719223,-35.54073715,-15.24,0.15,-14.66,0.17,23.12,0.43,12.05,1.62,0.96,1.26,7.9739,0.004,18.4847,17.1907,16.6153,16.3189
298,6,98,56.18507004,-35.68371582,-15.11,0.11,-14.49,0.13,21.73,0.32,6.97,0.71,0.71,1.19,7.9646,0.0033,18.9221,17.4879,16.8662,16.5608
264,6,170,55.38231277,-35.58955002,-15,0.14,-14.4,0.17,22.06,0.41,10.27,1.34,0.4,1.05,7.8945,0.0039,18.8268,17.5043,16.9196,16.6138
195,10,14,54.34718323,-34.90010834,-14.93,0.16,-14.31,0.19,22.92,0.48,12.78,1.92,0.54,1.06,7.9292,0.0042,18.9488,17.7088,17.0533,16.7358
250,13,258,55.18497086,-37.40826797,-14.55,0.15,-13.86,0.18,22.97,0.44,9.22,1.27,0.76,0.84,7.7692,0.0041,19.3152,18.0056,17.2906,17.0205
178,10,302,54.20272827,-34.28010178,-14.51,0.17,-13.95,0.2,23.37,0.5,11.26,1.76,0.71,1.24,7.745,0.0044,19.1844,17.9009,17.3255,16.9721
134,15,223,53.59039307,-34.59252167,-14.09,0.14,-13.57,0.16,22.36,0.41,6.52,0.84,0.57,0.81,7.4326,0.0041,19.5934,18.4252,17.9429,17.6614
51,21,129,51.77604294,-36.63678741,-13.64,0.13,-13.06,0.15,22.21,0.37,4.45,0.52,0.7,0.96,7.3893,0.0039,19.7032,18.7865,18.148,17.8414
