FCC,FDS,_DWARF,RA(deg),DEC(deg),M_r(mag),ERR_m_r(mag),mu_r(mag/arcsec2),ERR_mu_r(mag/arcsec2),R_e(arcsec),ERR_R_e(arcsec),axis_ratio,Sersic_index,log10(M_*/M_sun),ERR_log10(M_*),u,g,r,i
188,11,155,54.2689056396484,-35.5901489257812,-15.75,0.13,22.64,0.38,12.2,1.45,0.96,1,8.2215,0.0035,17.956,16.7113,16.018,15.7577
211,11,339,54.5895042419434,-35.2596893310547,-15.6,0.1,21.17,0.27,6.58,0.58,0.75,1.66,8.1347,0.003,18.0814,16.8617,16.2199,15.9522
164,12,367,54.0535888671875,-36.1664505004883,-15.49,0.13,21.85,0.36,9.95,1.13,0.55,1.47,8.1311,0.0034,18.5234,17.1193,16.4853,16.1737
306,7,310,56.439094543457,-36.3460998535156,-15.4,0.11,21.33,0.31,7.26,0.71,0.59,0.9,7.7096,0.0033,17.6836,16.9008,16.5846,16.4207
253,13,42,55.2303009033203,-37.8376274108887,-15.32,0.14,22.35,0.39,10.92,1.36,0.62,1.13,8.1008,0.0037,18.6277,17.2488,16.5385,16.2412
274,6,208,55.5719223022461,-35.5407371520996,-15.24,0.15,23.12,0.43,12.05,1.62,0.96,1.26,7.9739,0.004,18.4847,17.1907,16.6153,16.3189
298,6,98,56.1850700378418,-35.6837158203125,-15.11,0.11,21.73,0.32,6.97,0.71,0.71,1.19,7.9646,0.0033,18.9221,17.4879,16.8662,16.5608
264,6,170,55.3823127746582,-35.5895500183105,-15,0.14,22.06,0.41,10.27,1.34,0.4,1.05,7.8945,0.0039,18.8268,17.5043,16.9196,16.6138
195,10,14,54.3471832275391,-34.9001083374023,-14.93,0.16,22.92,0.48,12.78,1.92,0.54,1.06,7.9292,0.0042,18.9488,17.7088,17.0533,16.7358
250,13,258,55.1849708557129,-37.4082679748535,-14.55,0.15,22.97,0.44,9.22,1.27,0.76,0.84,7.7692,0.0041,19.3152,18.0056,17.2906,17.0205
178,10,302,54.2027282714844,-34.280101776123,-14.51,0.17,23.37,0.5,11.26,1.76,0.71,1.24,7.745,0.0044,19.1844,17.9009,17.3255,16.9721
134,15,223,53.5903930664063,-34.5925216674805,-14.09,0.14,22.36,0.41,6.52,0.84,0.57,0.81,7.4326,0.0041,19.5934,18.4252,17.9429,17.6614
51,21,129,51.7760429382324,-36.6367874145508,-13.64,0.13,22.21,0.37,4.45,0.52,0.7,0.96,7.3893,0.0039,19.7032,18.7865,18.148,17.8414
