"FCC","FDS","_DWARF","RA(deg)","DEC(deg)","year","M_r(mag)","ERR_m_r(mag)","M_g(mag)","ERR_m_g(mag)","mu_r(mag/arcsec2)","ERR_mu_r(mag/arcsec2)","R_e(arcsec)","ERR_R_e(arcsec)","axis_ratio","Sersic_index","log10(M_*/M_sun)","ERR_log10(M_*)","u","g","r","i"
259,6,267,55.2805213928223,-35.5144081115723,2015,-14.1,0.24,-13.69,0.26,24.67,0.7,13.6,2.98,0.69,1.37,7.5409,0.0059,20.0625,19.0219,18.449,18.1305
173,10,359,54.1791152954102,-34.1589584350586,2016,-14.1,0.18,-13.49,0.21,23.23,0.52,8.02,1.31,0.53,0.73,7.5679,0.0047,20.2101,18.9525,18.374,18.0359
201,13,44,54.4814758300781,-37.8559608459473,2018,-13.87,0.22,-13.22,0.26,24.39,0.64,10.57,2.13,0.72,1,7.5728,0.0055,19.9793,19.1981,18.5059,18.1519
88057,19,300,52.665470123291,-34.4118003845215,2018,-13.8,0.15,-13.29,0.17,22.89,0.42,4.89,0.65,0.78,1.61,7.2933,0.0043,19.9837,19.1336,18.6215,18.3822
269,6,374,55.4893989562988,-35.2924575805664,2015,-13.79,0.27,-13.27,0.3,25.26,0.79,14.67,3.62,0.77,0.78,7.4608,0.0066,20.2723,19.2536,18.7178,18.3379
239,13,230,55.0774116516113,-37.4994087219238,2018,-13.61,0.21,-12.91,0.25,23.65,0.61,8.45,1.61,0.45,0.92,7.4139,0.0054,21.1452,19.6803,19.0038,18.6878
228,11,311,54.9643020629883,-35.3221321105957,2015,-13.31,0.26,-12.7,0.3,25.19,0.76,11.02,2.62,0.82,0.96,7.1945,0.0067,20.6702,19.586,19.0262,18.7277
272,6,303,55.3960342407227,-35.4401168823242,2015,-13.19,0.18,-12.62,0.21,23.57,0.54,5.65,0.96,0.63,1.02,7.1938,0.0051,20.9505,19.7948,19.2543,18.9006
229,11,134,54.9807929992676,-35.6621017456055,2015,-13.18,0.24,-12.66,0.27,24.72,0.71,9.13,2.03,0.69,0.66,7.1077,0.0064,20.9209,19.7559,19.2125,18.9337
197,11,330,54.4213218688965,-35.2961769104004,2015,-12.93,0.21,-12.34,0.24,24.31,0.61,6.19,1.18,0.81,0.92,6.9694,0.0058,20.8668,20.0055,19.4165,19.2023
214,11,47,54.6525993347168,-35.8340492248535,2015,-12.91,0.19,-12.34,0.21,23.96,0.54,4.99,0.85,0.89,0.9,6.9533,0.0053,21.1388,20.0031,19.4324,19.2144
218,11,75,54.6569557189941,-35.7576141357422,2015,-12.76,0.26,-12.15,0.31,25.23,0.78,8.95,2.19,0.78,0.89,6.8221,0.0094,20.9436,19.9916,19.407,19.2613
284,6,352,55.729606628418,-35.3434715270996,2015,-12.73,0.26,-12.14,0.3,24.88,0.78,8.86,2.17,0.56,0.63,6.8639,0.0072,21.3428,20.3105,19.7663,19.5456
227,11,203,54.9586753845215,-35.5228538513184,2015,-12.42,0.23,-11.85,0.27,24.92,0.69,6.09,1.31,0.92,0.77,6.8582,0.008,21.2968,20.3545,19.822,19.4864
194,11,29,54.292911529541,-35.8882713317871,2016,-12.18,0.25,-11.42,0.31,24.95,0.75,6.42,1.51,0.68,1,6.4186,0.0075,21.3491,20.7403,20.1672,20.1697
196,12,491,54.4249420166016,-35.9552879333496,"2015&2016",-11.98,0.33,-11.34,0.38,25.56,0.98,9.42,2.89,0.46,0.7,6.659,0.009,21.855,21.1563,20.5599,20.2862
132,16,533,53.5595779418945,-35.8193817138672,2016,-11.47,0.34,-10.89,0.39,26.19,1.02,8,2.55,0.72,0.63,6.2736,0.01,22.6296,21.467,20.8619,20.7601
